Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/12/14,23:55,Car,animaletc,dontremember,7to12y,male
6/12/14,9:02,Ball,animaletc,12m,0to3y,male
6/12/14,9:06,No,action,12m,0to3y,male
6/12/14,9:14,Sweet Carrot,animaletc,10mOrBefore,0to3y,female
6/12/14,9:21,Bunger,animaletc,10mOrBefore,4to6y,male
6/12/14,9:23,Cat,animaletc,dontremember,0to3y,male
6/12/14,9:36,Hi,action,12m,0to3y,female
6/12/14,10:20,Ball,animaletc,dontremember,0to3y,male
6/12/14,10:42,Light,animaletc,11m,4to6y,male
6/12/14,10:46,Bebe,person,dontremember,0to3y,female
6/12/14,11:33,Mama,person,dontremember,7to12y,female
6/12/14,11:35,Ball,,10mOrBefore,0to3y,male
6/12/14,12:39,Hi,other,13m,0to3y,male
6/12/14,12:54,Thank You,other,12m,0to3y,female
6/12/14,13:03,Buttons,animaletc,13m,0to3y,male
6/12/14,13:45,Ca,person,10mOrBefore,0to3y,male
6/12/14,13:59,Uh-Oh,action,11m,0to3y,female
6/12/14,14:02,Car,animaletc,11m,4to6y,male
6/12/14,14:46,Baby,person,10mOrBefore,0to3y,female
6/12/14,15:09,Bide,person,13m,0to3y,male
6/12/14,15:25,Mama,person,10mOrBefore,4to6y,male
6/12/14,15:41,Ipad,other,10mOrBefore,0to3y,male
6/12/14,15:52,Uh-Oh,action,10mOrBefore,0to3y,male
6/12/14,15:55,Kitten,animaletc,12m,0to3y,male
